word,category
dobrodziejstwo,H
kakao,H
masaż,H
szczęśliwy,H
medal,H
łagodzić,H
owocowy,H
malinowy,H
miły,H
wolność,H
czysty,H
udany,H
wygodny,H
rozkwitać,H
puchar,H
wypoczynek,H
wsparcie,H
dobroduszny,H
wspierać,H
oklaski,H
żart,H
bezpieczny,H
harmonia,H
wycieczka,H
wypoczęty,H
zadowolony,H
ogród,H
inteligentny,H
spełniać,H
wytchnienie,H
lubić,H
biust,H
fotografować,H
mama,H
toast,H
osiągnięcie,H
wynagrodzenie,H
anioł,H
dawać,H
pozytywny,H
sport,H
dziękować,H
jedwabny,H
talent,H
wierny,H
pieścić,H
przerwa,H
niebo,H
hobby,H
zyskiwać,H
śmiech,H
lekkość,H
osiągać,H
lojalny,H
lizak,H
kanaryjski,H
szampan,H
krajobraz,H
zgoda,H
pachnieć,H
dyplom,H
zapas,H
weekend,H
zaleta,H
roześmiany,H
humor,H
jeść,H
zaufany,H
radość,H
nagradzać,H
soczysty,H
posiłek,H
spełnienie,H
słoneczny,H
wakacje,H
optymistyczny,H
róża,H
spokojny,H
polana,H
spokój,H
cud,H
sierpień,H
truskawkowy,H
śliczny,H
sobota,H
kochany,H
radosny,H
ciepły,H
sukces,H
raj,H
genialny,H
wiosna,H
sjesta,H
upojny,H
pozdrawiać,H
maj,H
wesoły,H
rozradowany,H
koniczyna,H
łóżko,H
deser,H
całować,H
ulga,H
miś,H
kwiat,H
Paryż,H
przyjaciel,H
uśmiech,H
pochwała,H
zdrowy,H
winogrono,H
tańczyć,H
ładny,H
pomysł,H
skowronek,H
zwycięzca,H
świętować,H
rozkoszny,H
świetny,H
zachwycać,H
uroczy,H
wspaniały,H
tort,H
szczęście,H
lemoniada,H
wygrany,H
komfort,H
kolorowy,H
zmysłowy,H
perfumy,H
super,H
zwycięstwo,H
seks,H
spać,H
przyjemność,H
miód,H
poduszka,H
łąka,H
melodyjny,H
prezent,H
zrelaksowany,H
wiosenny,H
lato,H
ciastko,H
słońce,H
oaza,H
muzyka,H
mamrotać,A
uparty,A
żądać,A
rozrzutny,A
moralista,A
nieprawidłowy,A
paplać,A
nadepnąć,A
pośpiech,A
ustępować,A
próżny,A
pedantyczny,A
przeoczyć,A
pouczać,A
balast,A
głodny,A
krzykliwy,A
głośny,A
drzeć,A
podżegać,A
wścibski,A
niegrzeczny,A
komar,A
wypraszać,A
klakson,A
ordynarny,A
negacja,A
posiedzenie,A
malkontent,A
przekorny,A
obowiązywać,A
niecierpliwość,A
upominać,A
strajkować,A
przeszkadzać,A
baner,A
buntownik,A
awaria,A
zakazywać,A
tandetny,A
arogancki,A
przeszkodzić,A
kopniak,A
weto,A
irytować,A
zagmatwany,A
występek,A
głupota,A
raban,A
trąbić,A
niszczyć,A
przekleństwo,A
musieć,A
krnąbrny,A
zbuntowany,A
sprzeciw,A
besztać,A
humorzasty,A
niesprawiedliwy,A
obciążać,A
kazanie,A
obrażony,A
oskarżać,A
denerwować,A
tępy,A
dźwigać,A
żądanie,A
lekkomyślny,A
niewygodny,A
zazdrosny,A
sprzeczny,A
biadolić,A
szemrać,A
bariera,A
bzdura,A
zadufany,A
kosztować,A
drażnić,A
pasywny,A
ograniczać,A
przerywać,A
utarczka,A
niezgoda,A
niedorzeczny,A
niezgodny,A
czekać,A
cholerny,A
protestować,A
zaprzeczać,A
nieuprawniony,A
chwalipięta,A
przemądrzały,A
budzik,A
oporny,A
kaprys,A
nalegać,A
gadanina,A
absurd,A
urna,S
niemy,S
listopadowy,S
cichy,S
deszczowy,S
posępny,S
bezdźwięczny,S
cherlawy,S
współczuć,S
melancholia,S
jesienny,S
przykrość,S
żałoba,S
zniechęcony,S
wdowa,S
osierocony,S
ulotny,S
żałować,S
daleki,S
zatroskany,S
smutny,S
melodramat,S
oddalony,S
łza,S
oklapnięty,S
sierota,S
dół,S
marny,S
zakonny,S
niepogoda,S
przybity,S
wierzba,S
tęsknić,S
samotny,S
pokutny,S
bezimienny,S
przemijać,S
ubolewać,S
zapłakany,S
klasztor,S
złom,S
apatyczny,S
wyczerpany,S
nieczuły,S
więdnąć,S
nikt,S
ślepy,S
zmartwiony,S
ubogi,S
wieniec,S
ponury,S
pożegnanie,S
zabliźniony,S
opłakiwać,S
ubywać,S
sługa,S
utykać,S
apatia,S
cmentarz,S
przygnębiony,S
jąkała,S
kondolencje,S
skrucha,S
zrozpaczony,S
pukać,F
rekin,F
benzyna,F
opresja,F
chwiejny,F
bezdenny,F
anomalia,F
nożyczki,F
omen,F
zastrzyk,F
testować,F
ryzyko,F
test,F
szklany,F
ścigać,F
pełnomocnik,F
czeluść,F
duch,F
horror,F
ołów,F
wybór,F
gaz,F
komisja,F
przyszłość,F
speszony,F
trans,F
głęboki,F
byk,F
armia,F
igła,F
dentysta,F
burzowy,F
rewir,F
funkcjonariusz,F
ostrzegać,F
niespokojny,F
sfora,F
hipnotyczny,F
olbrzymi,F
zaryzykować,F
zemdleć,F
narkoza,F
sprawozdanie,F
rozpoczynać,F
przerażony,F
potwór,F
szczypce,F
uważać,F
tygrys,F
wyrocznia,F
straszny,F
straszyć,F
przepaść,F
radar,F
lęk,F
niepokój,F
pszczoła,F
spadzisty,F
mikrofon,F
wypowiedź,F
psychika,F
amunicja,F
ryzykowny,F
kopalnia,F
odpowiadać,F
wynik,F
uciekać,F
zmiana,F
typować,F
anonim,F
broń,F
potencjalny,F
diagnozować,F
stromy,F
policjant,F
ostrze,F
warunek,F
obawa,F
symptom,F
niebezpieczeństwo,F
tajfun,F
szpon,F
zdziwiony,F
obłąkany,F
alarm,F
pustynny,F
agent,F
szok,F
propozycja,F
obława,F
krawędź,F
pirania,F
pantera,F
rakieta,F
przeczucie,F
nastawać,F
prognozować,F
występować,F
ostrzeżenie,F
czujny,F
defensywny,F
lawina,F
szerszeń,F
termin,F
grzmot,F
śledzić,F
mumia,F
czyhać,F
kamuflować,F
dylemat,F
obstawiać,F
magma,F
przestrzegać,F
thriller,F
drapieżny,F
przeczuwać,F
płonąć,F
torpeda,F
łańcuch,F
tajny,F
żmija,F
zdziwienie,F
nieoczekiwany,F
zalękniony,F
trzęsienie,F
weryfikować,F
cień,F
przyrzekać,F
dreszcz,F
maniakalny,F
kłuć,F
przysięgać,F
zagrażać,F
studnia,F
spadać,F
przerażający,F
tunel,F
zjawa,F
kosa,F
napięcie,F
wichura,F
sztorm,F
piorun,F
panika,F
wątpliwość,F
arsenał,F
krokodyl,F
mocarstwo,F
